launch angle,payload weight,timestep name,time,speed,altitude,horizontal range,flight path angle
75,50,Nike Burnout,3.5,3254.0,5292.0,1714.0,71.7
75,50,Apache Ignition,20.0,1729.0,40984.0,14740.0,67.08
75,50,Apache Burnout,26.36,6678.0,65069.0,25320.0,65.83
75,50,Apogee,219.08,2489.0,623386.0,502990.0,0.0
75,50,Impact,427.07,2634.0,0.0,1010587.0,-68.15
75,60,Nike Burnout,3.5,3233.0,5256.0,1704.0,71.68
75,60,Apache Ignition,20.0,1742.0,41005.0,14769.0,67.07
75,60,Apache Burnout,26.36,6442.0,64519.0,25108.0,65.8
75,60,Apogee,211.82,2413.0,583661.0,470982.0,0.0
75,60,Impact,412.61,2720.0,0.0,946398.0,-68.14
75,70,Nike Burnout,3.5,3212.0,5221.0,1695.0,71.66
75,70,Apache Ignition,20.0,1755.0,41008.0,14794.0,67.06
75,70,Apache Burnout,26.36,6227.0,63996.0,24911.0,65.76
75,70,Apogee,205.23,2344.0,517724.0,417742.0,0.0
75,70,Impact,399.53,2789.0,0.0,889780.0,-68.14
75,80,Nike Burnout,3.5,3190.0,5186.0,1685.0,71.64
75,80,Apache Ignition,20.0,1765.0,40993.0,14813.0,67.04
75,80,Apache Burnout,26.36,6031.0,63494.0,24727.0,65.73
75,80,Apogee,199.24,2281.0,490157.0,395950.0,0.0
75,80,Impact,387.65,2844.0,0.0,839616.0,-68.14
75,90,Nike Burnout,3.5,3170.0,5152.0,1676.0,71.62
75,90,Apache Ignition,20.0,1774.0,40962.0,14826.0,67.02
75,90,Apache Burnout,26.36,5851.0,63010.0,24554.0,65.69
75,90,Apogee,193.76,2222.0,465414.0,375460.0,0.0
75,90,Impact,376.8,2889.0,0.0,794922.0,-68.15
75,100,Nike Burnout,3.5,3149.0,5117.0,1667.0,71.59
75,100,Apache Ignition,20.0,1782.0,40914.0,14833.0,67.0
75,100,Apache Burnout,26.36,5685.0,62539.0,24389.0,65.64
75,100,Apogee,188.72,2168.0,548682.0,442753.0,0.0
75,100,Impact,366.84,2924.0,0.0,754800.0,-68.16
80,50,Nike Burnout,3.5,3254.0,5439.0,1152.0,77.79
80,50,Apache Ignition,20.0,1732.0,42447.0,9955.0,74.71
80,50,Apache Burnout,26.36,6709.0,67840.0,17141.0,73.87
80,50,Apogee,231.02,1678.0,698613.0,360071.0,0.0
80,50,Impact,450.17,2826.0,0.0,724183.0,-75.26
80,60,Nike Burnout,3.5,3233.0,5403.0,1146.0,77.77
80,60,Apache Ignition,20.0,1745.0,42467.0,9975.0,74.7
80,60,Apache Burnout,26.36,6469.0,67251.0,16995.0,73.85
80,60,Apogee,223.21,1627.0,653217.0,337017.0,0.0
80,60,Impact,434.66,2902.0,0.0,677890.0,-75.26
80,70,Nike Burnout,3.5,3212.0,5367.0,1139.0,77.76
80,70,Apache Ignition,20.0,1757.0,42468.0,9990.0,74.69
80,70,Apache Burnout,26.36,6251.0,66693.0,16860.0,73.83
80,70,Apogee,216.16,1581.0,613360.0,316719.0,0.0
80,70,Impact,420.66,2962.0,0.0,637128.0,-75.27
80,80,Nike Burnout,3.5,3190.0,5332.0,1133.0,77.74
80,80,Apache Ignition,20.0,1767.0,42453.0,10002.0,74.68
80,80,Apache Burnout,26.36,6052.0,66160.0,16732.0,73.8
80,80,Apogee,209.75,1539.0,578160.0,298751.0,0.0
80,80,Impact,407.97,3009.0,0.0,601043.0,-75.27
80,90,Nike Burnout,3.5,3170.0,5296.0,1127.0,77.73
80,90,Apache Ignition,20.0,1775.0,42418.0,10010.0,74.66
80,90,Apache Burnout,26.36,5869.0,65645.0,16612.0,73.77
80,90,Apogee,203.89,1500.0,546850.0,282746.0,0.0
80,90,Impact,396.39,3045.0,0.0,568899.0,-75.28
80,100,Nike Burnout,3.5,3149.0,5261.0,1120.0,77.72
80,100,Apache Ignition,20.0,1782.0,42368.0,10014.0,74.64
80,100,Apache Burnout,26.36,5701.0,65147.0,16498.0,73.74
80,100,Apogee,198.51,1464.0,518815.0,268397.0,0.0
80,100,Impact,385.77,3073.0,0.0,540083.0,-75.29
85,50,Nike Burnout,3.5,3254.0,5529.0,576.0,83.9
85,50,Apache Ignition,20.0,1734.0,43338.0,4998.0,82.41
85,50,Apache Burnout,26.36,6726.0,69532.0,8586.0,82.01
85,50,Apogee,237.91,806.0,745280.0,181011.0,0.0
85,50,Impact,463.53,2938.0,0.0,365433.0,-82.62
85,60,Nike Burnout,3.5,3233.0,5492.0,573.0,83.89
85,60,Apache Ignition,20.0,1746.0,43358.0,5007.0,82.4
85,60,Apache Burnout,26.36,6484.0,68920.0,8512.0,82.0
85,60,Apogee,229.81,783.0,696416.0,169580.0,0.0
85,60,Impact,447.45,3008.0,0.0,342375.0,-82.63
85,70,Nike Burnout,3.5,3212.0,5456.0,570.0,83.88
85,70,Apache Ignition,20.0,1758.0,43358.0,5015.0,82.4
85,70,Apache Burnout,26.36,6264.0,68340.0,8444.0,81.98
85,70,Apogee,222.49,762.0,653570.0,159506.0,0.0
85,70,Impact,432.95,3063.0,0.0,322056.0,-82.63
85,80,Nike Burnout,3.5,3190.0,5420.0,567.0,83.88
85,80,Apache Ignition,20.0,1767.0,43340.0,5020.0,82.39
85,80,Apache Burnout,26.36,6063.0,67786.0,8380.0,81.97
85,80,Apogee,215.84,743.0,615746.0,150576.0,0.0
85,80,Impact,419.8,3104.0,0.0,304042.0,-82.63
85,90,Nike Burnout,3.5,3170.0,5384.0,564.0,83.87
85,90,Apache Ignition,20.0,1775.0,43306.0,5024.0,82.38
85,90,Apache Burnout,26.36,5879.0,67254.0,8320.0,81.96
85,90,Apogee,209.78,725.0,582153.0,142618.0,0.0
85,90,Impact,407.82,3136.0,0.0,287991.0,-82.64
85,100,Nike Burnout,3.5,3149.0,5349.0,560.0,83.86
85,100,Apache Ignition,20.0,1782.0,43254.0,5026.0,82.37
85,100,Apache Burnout,26.36,5710.0,66738.0,8262.0,81.94
85,100,Apogee,204.22,708.0,552083.0,135475.0,0.0
85,100,Impact,396.83,3160.0,0.0,273583.0,-82.64
90,50,Nike Burnout,3.5,3254.0,5559.0,-18.0,89.98
90,50,Apache Ignition,20.0,1734.0,43635.0,-45.0,89.86
90,50,Apache Burnout,26.36,6732.0,70091.0,-150.0,89.8
90,50,Apogee,239.68,99.0,759306.0,-15630.0,0.0
90,50,Impact,466.94,2974.0,0.0,-31047.0,-89.91
90,60,Nike Burnout,3.5,3233.0,5522.0,-18.0,89.98
90,60,Apache Ignition,20.0,1747.0,43653.0,-45.0,89.86
90,60,Apache Burnout,26.36,6488.0,69471.0,-148.0,89.8
90,60,Apogee,231.51,93.0,709439.0,-14175.0,0.0
90,60,Impact,450.74,3043.0,0.0,-28152.0,-89.91
90,70,Nike Burnout,3.5,3212.0,5486.0,-18.0,89.98
90,70,Apache Ignition,20.0,1758.0,43653.0,-45.0,89.86
90,70,Apache Burnout,26.36,6268.0,68884.0,-145.0,89.8
90,70,Apogee,224.14,88.0,665723.0,-12934.0,0.0
90,70,Impact,436.13,3095.0,0.0,-25681.0,-89.91
90,80,Nike Burnout,3.5,3190.0,5450.0,-17.0,89.98
90,80,Apache Ignition,20.0,1767.0,43635.0,-45.0,89.86
90,80,Apache Burnout,26.36,6067.0,68324.0,-143.0,89.8
90,80,Apogee,217.44,83.0,627155.0,-11867.0,0.0
90,80,Impact,422.89,3135.0,0.0,-23556.0,-89.91
90,90,Nike Burnout,3.5,3170.0,5414.0,-17.0,89.98
90,90,Apache Ignition,20.0,1775.0,43599.0,-45.0,89.86
90,90,Apache Burnout,26.36,5882.0,67784.0,-140.0,89.8
90,90,Apogee,211.34,78.0,592889.0,-10941.0,0.0
90,90,Impact,410.82,3165.0,0.0,-21716.0,-89.91
90,100,Nike Burnout,3.5,3149.0,5378.0,-17.0,89.98
90,100,Apache Ignition,20.0,1782.0,43548.0,-46.0,89.86
90,100,Apache Burnout,26.36,5712.0,67264.0,-139.0,89.8
90,100,Apogee,205.73,75.0,562238.0,-10130.0,0.0
90,100,Impact,399.75,3187.0,0.0,-20106.0,-89.92
